,Left Knee Max Mean Stand2Sit,Right Ankle Max Sd Stand2Sit,Left Hip Min Ang Vel Sit2Stand,Right Hip Max Mean Stand2Sit,Right Hip Min Ang Acc,Pelvic Avg Speed,Number of Medical Conditions
40,5.054415687,3.940287462,3.514826663,6.97461681,6.903824414,9.413694646,5.458956006
41,2.781147011,4.602759326,6.420249838,7.453482043,8.019973628,5.768687364,3.264006766
42,3.194827488,3.397176901,3.983311536,9.448507263,6.62296011,7.104133663,5.883093708
43,4.928631781,4.581649446,4.195862104,7.479268534,6.273994051,6.99105369,6.906638889
44,5.834256173,5.767616996,4.755999811,5.165518656,7.429565112,7.016081484,8.3114783
45,4.220989954,2.450497269,3.900757236,8.454394247,8.851036556,5.698846071,7.291784175
46,1.706230646,3.949567872,3.395589668,5.853806183,5.350473513,5.573206366,7.413850682
47,2.591316561,5.835827355,5.147541746,6.528394687,6.229736066,7.135873825,7.603762085
48,3.427312666,5.054570076,2.355943422,6.168917324,8.806555898,6.608088618,6.895174561
49,4.036823314,2.446266174,3.827866561,5.153049555,7.479583966,8.331712801,7.873674616
50,3.790781242,4.423421556,5.872287995,6.441443566,5.866699869,8.992942712,7.305050228
51,3.911552098,5.696525456,3.464866647,4.55755734,6.737591469,8.169715093,7.626448596
52,2.49313105,5.375044273,2.947999433,5.705543226,4.8789854,7.364671462,6.632258423
53,3.595487688,4.695652135,5.098227881,6.877175089,6.844753002,8.422600735,9.162329448
54,4.352232554,3.734946049,4.561370035,5.527988922,5.635008381,6.343470935,6.353483948
55,5.007686675,4.323909164,4.74780163,4.990715145,7.213297415,8.719306516,8.284778925
56,3.148091954,5.610873702,4.307210884,5.090726684,8.029155236,8.460253366,7.891585938
57,4.409204915,5.454453055,5.294296508,5.859800828,6.597530016,7.354460001,6.224399581
58,3.246411756,4.202638883,4.619555167,8.103249645,7.829010251,7.092814268,6.454219158
59,3.958161872,5.496196502,5.336678076,8.918655076,7.925888014,7.453520967,9.500235452
60,1.364204545,5.357252493,3.086186742,6.883336476,6.884761758,5.476421053,9.458180754
61,3.039762853,5.395613281,2.943964523,4.404528619,6.051213904,5.693415488,8.542845056
62,3.90241104,5.052103636,4.880231063,5.662305447,5.434326662,5.74803187,6.547359326
63,2.957818737,2.376822187,2.186456334,7.427948464,6.152639155,5.434578008,7.155371912
64,2.029323692,2.504020892,2.961480515,4.685239477,6.444314881,5.808890173,7.83012704
65,4.973580262,4.052530654,2.57278254,9.6931144,8.274215151,6.989642823,6.327879307
66,5.370230848,4.253009351,7.306730235,8.896045677,7.405692276,6.782111297,9.078368331
67,2.566433155,2.994893685,3.859320063,6.054156317,6.993116083,6.759644457,6.114046944
68,3.534474827,3.612867983,4.841403347,7.694322145,8.163524866,8.063166413,7.064466959
69,3.986880179,3.867231502,5.125849295,7.833052012,9.367523788,6.290083618,6.692177137
70,2.878345735,2.791332201,5.453103601,5.803304444,8.872499252,5.320041552,6.441070241
