,Predictor,Selection_Frequency,Average_Coefficient
87,right_ankle_sd,0.01,-5.87E-05
88,right_ankle_max,0,0
89,right_ankle_min,0,0
90,right_ankle_max_mean,0,0
91,right_ankle_min_mean,0.08,0.000363175
92,right_ankle_max_sd,0.29,-0.014880176
93,right_ankle_min_sd,0.01,0.000255868
94,right_ankle_ang_vel,0.75,-0.041395756
95,right_ankle_ang_acc,0.75,-0.040898733
96,right_ankle_max_ang_vel,0,0
97,right_ankle_max_ang_acc,0,0
98,right_ankle_min_ang_vel,0,0
99,right_ankle_min_ang_acc,0,0
100,trunk_lean_range_mean,0.02,-0.000262673
101,trunk_lean_sd,0.01,-0.000196607
102,trunk_lean_max,0,0
103,trunk_lean_min,0.07,0.000855072
104,trunk_lean_max_mean,0,0
105,trunk_lean_min_mean,0.1,0.003465693
106,trunk_lean_max_sd,0.19,0.010414513
107,trunk_lean_min_sd,0.12,-0.012760898
108,trunk_lean_ang_vel,0.2,0.003347898
109,trunk_lean_ang_acc,0.2,0.003294384
110,trunk_lean_max_ang_vel,0.42,-0.004264964
111,trunk_lean_max_ang_acc,0.02,2.73E-05
112,trunk_lean_min_ang_vel,0,0
113,trunk_lean_min_ang_acc,0.57,0.000653659
114,left_shank_angle_range_mean,0,0
115,left_shank_angle_sd,0.13,-0.007455632
116,left_shank_angle_max,0.01,0.000112956
117,left_shank_angle_min,0.08,-0.000865178
118,left_shank_angle_max_mean,0,0
119,left_shank_angle_min_mean,0.02,-2.65E-05
120,left_shank_angle_max_sd,0.05,0.001603637
121,left_shank_angle_min_sd,0.4,0.079468976
122,left_shank_angle_ang_vel,0.63,-0.050031717
123,left_shank_angle_ang_acc,0.63,-0.049017595
124,left_shank_angle_max_ang_vel,0.05,0.000336705
125,left_shank_angle_max_ang_acc,0,0
126,left_shank_angle_min_ang_vel,0.04,0.000155402
127,left_shank_angle_min_ang_acc,0.05,-1.37E-05
128,right_shank_angle_range_mean,0,0
129,right_shank_angle_sd,0.01,-0.000307838
130,right_shank_angle_max,0,0
131,right_shank_angle_min,0.01,-7.55E-05
132,right_shank_angle_max_mean,0,0
133,right_shank_angle_min_mean,0.01,9.05E-06
134,right_shank_angle_max_sd,0,0
135,right_shank_angle_min_sd,0.18,0.01980172
136,right_shank_angle_ang_vel,0.04,0.003247783
137,right_shank_angle_ang_acc,0.04,0.003205759
138,right_shank_angle_max_ang_vel,0,0
139,right_shank_angle_max_ang_acc,0,0
140,right_shank_angle_min_ang_vel,0.36,0.003366219
141,right_shank_angle_min_ang_acc,0.01,1.81E-06
142,alignment_range_mean,0.01,0.000148086
143,alignment_sd,0,0
144,alignment_max,0,0
145,alignment_min,0,0
146,alignment_max_mean,0.02,-0.000111412
