subjectid,lyapunovExponent,approxEntropy,sampleEntropy,MSE1,MSE2,MSE3,MSE4,MSE5,Ci,half_cycle_regularity,full_cycle_regularity,symmetry_1,symmetry_2
A5ya7RsN,-0.032909984,0.214569518,0.144795959,0.072311367,0.104880724,0.156830353,0.189952169,0.184922338,0.708896951,0.68104452,0.504717749,1.349357182,0.17632677
AA9IzAL1,0.004253966,0.351514593,0.228488465,0.079739452,0.146858725,0.240630566,0.31659672,0.335084311,1.118909774,0.767788653,0.576975616,1.330712479,0.190813036
AVXJQX9B,-0.042280287,0.223616682,0.13929407,0.063323069,0.109449579,0.159515299,0.197622402,0.273250371,0.80316072,0.658784802,0.498343224,1.321949955,0.160441578
Abnitm4V,-0.020231057,0.220748348,0.156376192,0.075508647,0.105301604,0.162125538,0.170860113,0.226184608,0.73998051,0.783592926,0.577269308,1.35741311,0.206323619
AnEq8Uph,-0.005711386,0.221114497,0.122288854,0.062012296,0.110702593,0.137612214,0.158536652,0.151834524,0.620698279,0.745955015,0.508167848,1.467930367,0.237787167
Aq75NMHO,-0.006194855,0.18132838,0.108909566,0.048901713,0.088840708,0.136733772,0.186769516,0.21224096,0.673486668,0.792051802,0.602320096,1.315001454,0.189731706
Ar8WVEB8,-0.070808889,0.296295987,0.258906872,0.10163152,0.122135514,0.126842404,0.102745158,0.100925919,0.554280515,0.754304636,0.515209619,1.464073279,0.239095017
Awp7L46g,-0.010426802,0.213355269,0.096645358,0.060792751,0.117478575,0.189287914,0.268574626,0.307572231,0.943706098,0.787998009,0.602561058,1.307747985,0.185436951
B0Su5xdm,-0.01719858,0.211296535,0.127893611,0.037923416,0.087428478,0.119704736,0.148713336,0.16931132,0.563081286,0.799446262,0.6029226,1.325951726,0.196523662
BFP7TMfA,0.005614481,0.268481629,0.162581245,0.089726748,0.129731969,0.185293327,0.212597442,0.296932832,0.914282318,0.319059633,0.130203318,2.450472365,0.188856315
BMBD4fpK,-0.111856635,0.357749032,0.259348213,0.085730092,0.153813696,0.248766656,0.353931458,0.402092424,1.244334325,0.67454634,0.441655044,1.527314921,0.232891295
BvPM57u7,-0.008642242,0.221439704,0.109096045,0.051839602,0.102010587,0.134202308,0.16170852,0.173609616,0.623370633,0.716622343,0.559565492,1.280676441,0.157056851
C5LRwSjU,-0.025035704,0.254391406,0.234676535,0.087534409,0.119627754,0.135324823,0.128668843,0.090514008,0.561669837,0.798213317,0.587668047,1.358272449,0.21054527
C5W4TIo7,-0.04799301,0.428339644,0.35772558,0.060567082,0.10795295,0.15765331,0.227481953,0.303865196,0.85752049,0.730888678,0.497257991,1.469837974,0.233630687
CAMRbQ1K,-0.001646612,0.260153079,0.202400471,0.084178585,0.166292719,0.262364264,0.338325805,0.45366721,1.304828583,0.527002903,0.352659097,1.494369227,0.174343805
CCBwJuQg,0.021387557,0.259314346,0.142739845,0.056542071,0.111269074,0.166028389,0.233193887,0.30378548,0.870818901,0.72469197,0.537174305,1.349081597,0.187517664
CWf3eyvo,-0.002648061,0.223127555,0.144489901,0.047230563,0.094253262,0.137109214,0.172855451,0.196351034,0.647799523,0.675757148,0.514656655,1.31302518,0.161100492
Cr8FATng,-0.088899514,0.189131846,0.141987194,0.086767392,0.14964504,0.247475652,0.253880177,0.228633044,0.966401305,0.529545482,0.358196501,1.478365873,0.171348982
CvpdKx9g,0.011708356,0.258390886,0.213511823,0.070531153,0.145353943,0.219823128,0.273932517,0.352282843,1.061923583,0.488350157,0.308006336,1.585519838,0.18034382
Cw8bz9tw,-0.021037984,0.210124361,0.159687243,0.068640623,0.137417707,0.188354758,0.254450456,0.3254224,0.974285943,0.651417914,0.409271124,1.591653737,0.24214679
DHAxflfI,-0.048111391,0.245623825,0.156167279,0.064706283,0.130048102,0.180151028,0.259825118,0.324461324,0.959191855,0.591852281,0.382041548,1.549183023,0.209810732
DVmTCuSO,-0.02583844,0.213365148,0.163381484,0.054724397,0.098621229,0.145605541,0.207525411,0.273113657,0.779590235,0.636815901,0.453605267,1.403898825,0.183210634
DckqPvXh,-0.004451924,0.193754119,0.126069942,0.075522327,0.112577402,0.163483715,0.198309419,0.195744577,0.74563744,0.750584071,0.550260893,1.364051272,0.200323178
Di0gPE0H,-0.072981283,0.243535121,0.19407141,0.069443342,0.1077714,0.16565646,0.228427579,0.212626906,0.783925689,0.60678462,0.37159698,1.632910524,0.23518764
Dkjr9F7k,-0.037654312,0.268209704,0.184154145,0.070819963,0.129007453,0.20449423,0.233310669,0.197825743,0.835458058,0.745648168,0.562394965,1.325844316,0.183253203
EHotqA24,-0.057101141,0.236702806,0.179425825,0.079404294,0.171335138,0.189647597,0.149531734,0.135036284,0.724955047,0.548027173,0.358434435,1.528946775,0.189592738
EL0qvt0M,-0.007650188,0.20834824,0.110817947,0.061585373,0.128072007,0.192638524,0.291298713,0.417299566,1.090894182,0.746213672,0.563581206,1.324057055,0.182632466
EQSaAnPk,-0.019004571,0.229837816,0.18806481,0.057761323,0.118372311,0.16056507,0.16882087,0.128342796,0.63386237,0.69474151,0.450195702,1.543198896,0.244545808
ESzlIzyO,-0.048634875,0.174680319,0.095286178,0.076049766,0.165116225,0.276954,0.286513165,0.175632569,0.980265725,0.305552499,0.165746776,1.843489848,0.139805723
EuMyzKCY,-0.122282732,0.48599367,0.382623001,0.086407899,0.164465958,0.218049769,0.261174496,0.278505481,1.008603602,0.35679314,0.278628606,1.280533054,0.078164534
F6PuVthQ,-0.207393444,0.170169711,0.105676761,0.062087457,0.126766467,0.20154528,0.277338202,0.305619773,0.973357178,0.500790382,0.300307232,1.66759348,0.20048315
FDrWmipp,-0.022267027,0.213621446,0.191252589,0.068001353,0.114544222,0.165514438,0.185281598,0.13630532,0.669646932,0.774529174,0.581599255,1.331723119,0.192929919
FDzVFOBn,-0.68206924,0.264321239,0.22030935,0.094507128,0.144986272,0.17030107,0.197435195,0.223143551,0.830373216,0.406239183,0.235013936,1.728574864,0.171225247
FWDyTLr2,-0.023204641,0.307964003,0.192354129,0.034568375,0.074953429,0.105153562,0.138378285,0.171781991,0.524835642,0.737094346,0.493853655,1.492535973,0.243240691
FsNM5n5s,-0.027663268,0.263625562,0.209982612,0.071548476,0.145763961,0.231195406,0.257186436,0.274436846,0.980131125,0.731571905,0.507006035,1.442925438,0.22456587
G0vvcncN,-0.009514262,0.161553937,0.104848945,0.068049937,0.150099358,0.228365495,0.238579359,0.266523847,0.951617996,0.726540431,0.560728183,1.295708782,0.165812248
GESYi2xq,-0.026027294,0.190264921,0.102593646,0.033250388,0.073077851,0.106157178,0.142076531,0.157680511,0.512242458,0.732431039,0.536915546,1.364145712,0.195515493
GITsdVy7,-0.086406775,0.281683628,0.243619099,0.062762041,0.132734694,0.225919743,0.303682414,0.37217913,1.097278023,0.624934882,0.474170406,1.317954207,0.150764475
GLKexPjc,-0.029338098,0.239976263,0.166290078,0.044656391,0.09398968,0.12907558,0.147483988,0.175129785,0.590335424,0.759027372,0.564235641,1.345231169,0.19479173
GWB9Uvrb,-0.019505555,0.177536575,0.110020154,0.038127454,0.083901927,0.117191994,0.160773221,0.181242725,0.58123732,0.766288777,0.589169489,1.300625357,0.177119288
GboPBbli,-0.021136733,0.168913789,0.116713506,0.06777337,0.119693256,0.155742614,0.180488376,0.141186444,0.66488406,0.752724834,0.499660627,1.50647218,0.253064207
GjPHiGli,-0.021670399,0.311854257,0.204209568,0.045558171,0.095287876,0.119775352,0.162966925,0.194488296,0.618076619,0.704111792,0.441127806,1.596162797,0.262983987
GwvQ3hpI,-0.017655325,0.221559849,0.15777183,0.050978247,0.096744071,0.14027474,0.191020702,0.248739099,0.727756858,0.389207611,0.261419331,1.488824906,0.12778828
H1SDVD0X,-0.079424945,0.186026873,0.113640357,0.049931161,0.090342993,0.145121992,0.191574762,0.240294566,0.717265475,0.497441481,0.28187603,1.764752688,0.215565451
HA57ijek,-0.037118658,0.182120441,0.109663911,0.05633295,0.108703356,0.168068619,0.234514489,0.310154928,0.877774342,0.710743305,0.434486324,1.635824343,0.276256981
HAKCEJWo,-0.00599767,0.289206426,0.177283136,0.027033031,0.059229492,0.08466777,0.114900359,0.151363284,0.437193935,0.560514526,0.429865311,1.303930585,0.130649216
HWfZASLi,-0.070682104,0.234104905,0.133807661,0.052223716,0.084151266,0.125649616,0.184225866,0.245373022,0.691623485,0.737845466,0.556662221,1.325481482,0.181183245
HpYl7dTS,-0.043725639,0.198590578,0.135760078,0.06154862,0.104629912,0.165334616,0.247669777,0.28563079,0.864813714,0.691103626,0.470617087,1.468505172,0.220486539
IpAvcDzr,-0.039912238,0.337383058,0.296731908,0.084474931,0.166247226,0.213500275,0.240808387,0.173663494,0.878694314,0.675236647,0.467939303,1.443000496,0.207297344
J8qdjHy8,-0.030251011,0.221325261,0.168362118,0.049322929,0.101908302,0.14432685,0.179850777,0.209857715,0.685266573,0.702850506,0.53197424,1.32121154,0.170876265
JFoDIM9T,-0.035808055,0.28505882,0.208241071,0.076727275,0.129168207,0.18050832,0.184596871,0.152016207,0.72301688,0.642884752,0.406344298,1.582118303,0.236540454
JKDP8D2e,0.011214405,0.285211742,0.224372808,0.119429275,0.197704214,0.286663224,0.364930925,0.427444015,1.396171653,0.701919412,0.452754234,1.550332078,0.249165178
JNh9mTC7,-0.013023031,0.225392792,0.11861541,0.05010747,0.090465717,0.127208583,0.161818894,0.182321557,0.611922222,0.741530265,0.504719979,1.469191424,0.236810286
JOmsdP6A,-0.040550347,0.432928377,0.328197741,0.051015932,0.106738013,0.144634667,0.189453528,0.234671056,0.726513196,0.510578375,0.331017569,1.542450983,0.179560806
JUvMRml6,-0.097475256,0.182044505,0.112009143,0.061789164,0.111142184,0.161368843,0.193835399,0.206576477,0.734712067,0.491922479,0.228527225,2.152577135,0.263395254
Jbr8myiV,-0.000198934,0.154430735,0.085330458,0.022361264,0.048880702,0.072563683,0.090554106,0.112071224,0.346430979,0.755173338,0.558656428,1.351767025,0.19651691
Je470A3u,-0.013585183,0.179655176,0.095935506,0.065054245,0.12360697,0.190978349,0.255859891,0.298044859,0.933544315,0.780925557,0.598827686,1.304090601,0.182097871
JoT31ute,-0.042468071,0.297343157,0.16835948,0.032440672,0.070874684,0.105062957,0.129411074,0.17651771,0.514307096,0.721880473,0.492425622,1.465968546,0.229454851
Jz7HcSm7,-0.058869054,0.267010054,0.239039315,0.081544092,0.139498048,0.202558914,0.197359434,0.12899212,0.749952607,0.314447918,0.092508685,3.399117781,0.221939232
K7pXSGJ9,0.002878255,0.381512602,0.316559193,0.054678963,0.097217675,0.131513228,0.175342708,0.222088513,0.680841088,0.715349436,0.552633894,1.294436413,0.162715541
KHDHZ4c5,-0.008957654,0.127097565,0.076530694,0.014460132,0.028530129,0.044278824,0.062063585,0.080427921,0.22976059,0.699271997,0.468617802,1.492201095,0.230654195
KNaNAjLP,-0.037127659,0.204315056,0.148320761,0.059271002,0.110075917,0.175518809,0.25187262,0.292432675,0.889171023,0.639367874,0.389700049,1.640666652,0.249667826
Kc2t70BJ,-0.179878018,0.181387511,0.103264755,0.07533999,0.141402006,0.22517342,0.276489532,0.339403357,1.057808306,0.455475239,0.314549589,1.448023632,0.140925649
KmpRQuJD,-0.031593501,0.217858761,0.130159817,0.059122866,0.098309189,0.150780062,0.173523167,0.21217452,0.693909805,0.618164737,0.443739102,1.393081507,0.174425635
KyINSk8e,-0.044050493,0.255142622,0.193126201,0.051947662,0.096968162,0.154943136,0.237723955,0.297754415,0.839337331,0.700806977,0.483408783,1.449719165,0.217398194
L2GIBJN1,-0.031389998,0.31975302,0.235091348,0.069086369,0.137494622,0.207484394,0.281251182,0.285881892,0.981198459,0.706458569,0.541290264,1.305138141,0.165168305
LAervIgm,0.015451521,0.308873787,0.243369609,0.071640064,0.132123537,0.20620155,0.249034965,0.326344059,0.985344175,0.782136978,0.590324414,1.324927378,0.191812564
M0sPVbHP,0.007756365,0.063760952,0.039937675,0.007805497,0.015274804,0.023111265,0.031758727,0.041395883,0.119346176,0.634341157,0.474124502,1.337921063,0.160216656
MKMvRw1P,-0.14201832,0.242547259,0.160446945,0.081795645,0.116983355,0.162147705,0.209992123,0.221121306,0.792040134,0.560392611,0.3890892,1.440267709,0.171303411
MSYVAPeM,0.007500537,0.183833929,0.111715196,0.077765986,0.131424452,0.168163347,0.282815883,0.190043603,0.85021327,0.7800243,0.59465716,1.311721027,0.185367141
MVWT4FfX,-0.01281848,0.290316194,0.191189835,0.053530393,0.096872566,0.142403823,0.197546764,0.246860078,0.737213624,0.693348029,0.508104209,1.364578403,0.185243821
MVZpHgro,0.039835588,0.323943935,0.22029994,0.061703788,0.105968451,0.171850257,0.237000586,0.313657559,0.89018064,0.773755234,0.588808324,1.314103764,0.18494691
MeABXs62,-0.060469412,0.309291283,0.226316851,0.062177798,0.128784461,0.153164973,0.15449157,0.099485551,0.598104352,0.644267146,0.414045906,1.556028295,0.23022124
MfzjZe52,-0.017212831,0.192793023,0.087972233,0.034412368,0.076813685,0.09938471,0.129682597,0.171514492,0.511807852,0.787482959,0.591594353,1.331119804,0.195888606
N6l5Ci6H,-0.007290117,0.259735412,0.155281674,0.060605213,0.09058523,0.129211731,0.171080626,0.202613387,0.654096187,0.480854516,0.333594826,1.441432776,0.14725969
NCK9pYwX,-0.018349029,0.240615801,0.162269627,0.060005931,0.120900302,0.202182763,0.262851001,0.311351817,0.957291814,0.481088661,0.329596152,1.459630695,0.151492509
Ni69ryle,-0.032246112,0.235300122,0.161120996,0.06795391,0.13945885,0.215421505,0.230709792,0.214656937,0.868200995,0.762066752,0.551739509,1.381207507,0.210327243
O21FTG3F,-0.020712138,0.248578978,0.149955456,0.041225327,0.091074659,0.116367607,0.13294206,0.139248961,0.520858613,0.737217476,0.50480453,1.460401862,0.232412946
O2Kvv0GJ,-0.017036259,0.233160807,0.186198663,0.053893273,0.096878741,0.148080216,0.182945582,0.209857715,0.691655526,0.740174291,0.571936903,1.294153755,0.168237388
OioJ5LuN,-0.036938722,0.249074957,0.231171693,0.082299762,0.137154585,0.21566222,0.256719847,0.183252222,0.875088636,0.704876287,0.462654927,1.523546483,0.24222136
Or1k3cMJ,-0.532561374,0.358041467,0.289650271,0.069734876,0.128008029,0.1270204,0.098225027,0.091318159,0.514306491,0.366689031,0.26509425,1.383240229,0.101594781
OuYG4U64,-0.05308693,0.204000244,0.174133884,0.057740583,0.109072536,0.159421024,0.197721928,0.169684973,0.693641044,0.669558486,0.510122821,1.312543681,0.159435664
P2CZntyu,-0.043685353,0.444179528,0.301887919,0.048934862,0.089829397,0.128607112,0.152843704,0.196191405,0.61640648,0.746773463,0.537295692,1.389874279,0.209477771
P5wlKd0H,0.006543283,0.169121562,0.101144714,0.06539144,0.144512175,0.229862502,0.29600212,0.36639764,1.102165877,0.714102166,0.487756145,1.464055703,0.226346021
PA4bXBlr,-0.011802683,0.248225686,0.220741648,0.062933795,0.120327065,0.141029085,0.137358416,0.0908384,0.552486761,0.789485897,0.608181124,1.298109832,0.181304773
PHr2f4TQ,-0.003885127,0.193718483,0.139093537,0.056069553,0.103362673,0.155661254,0.199852833,0.291883759,0.806830073,0.78058424,0.582239951,1.340657299,0.198344289
PJ2s4y3i,-0.024770272,0.254165282,0.178686942,0.040110674,0.087270638,0.119184971,0.162298641,0.166772962,0.575637886,0.692011458,0.484368874,1.428686885,0.207642584
PKYf165r,-0.029518768,0.375097611,0.317814822,0.080037299,0.129857987,0.161398139,0.173931134,0.231203468,0.776428027,0.64502302,0.495637878,1.301399768,0.149385142
POQZgYEM,-0.036569331,0.222858855,0.167097558,0.060728701,0.110804187,0.165718079,0.193979881,0.23944826,0.770679108,0.682534878,0.50660106,1.347282767,0.175933818
PcUj1dc8,-0.140137857,0.194958541,0.144401965,0.082704004,0.182222699,0.275486799,0.279908574,0.195424782,1.015746858,0.603153676,0.469967767,1.283393708,0.133185908
PftjeXxz,-0.054371089,0.434043893,0.352726066,0.074040524,0.120937917,0.137914161,0.186169423,0.225806669,0.744868694,0.746465149,0.554817896,1.345423705,0.191647253
PhCyuRvo,-0.038140879,0.283592735,0.172699244,0.042254894,0.085358672,0.106843938,0.145515137,0.17944003,0.55941267,0.680981536,0.471580522,1.444040846,0.209401014
Q0xDqlUa,-0.008979531,0.353741568,0.274603152,0.083346192,0.169412375,0.255038224,0.370859579,0.43036266,1.30901903,0.35000417,0.311291564,1.124361242,0.038712606
QJ2012XI,-0.055623109,0.291210678,0.288435774,0.083295952,0.119999386,0.112706125,0.083487144,0.097422113,0.49691072,0.617356573,0.433685058,1.423513589,0.183671515
QLZHPS8I,-0.128140339,0.220672125,0.175065036,0.08031889,0.187857555,0.29552525,0.338975367,0.304211374,1.206888436,0.449635343,0.315346823,1.425843896,0.13428852
QNEd2eGX,-0.032629785,0.221416797,0.142585899,0.03262346,0.072323799,0.105432598,0.129255744,0.163934931,0.503570531,0.727852399,0.53039944,1.372272187,0.19745296
Qk66Dk9d,-0.168301082,0.210712914,0.107225,0.049335884,0.085307657,0.136281528,0.19637331,0.218450281,0.685748661,0.173212813,0.044737333,3.871773337,0.12847548
R8eFySk4,-0.116025827,0.365850821,0.28354128,0.073021842,0.130937357,0.181245709,0.170729809,0.100925919,0.656860636,0.719646497,0.503642731,1.428882921,0.216003766
RFibHPt7,-0.016612569,0.248685414,0.133020682,0.0533468,0.100767119,0.154342932,0.20556572,0.281451523,0.795474094,0.704887248,0.453547243,1.554164993,0.251340005
RJVU9j8P,-0.020702351,0.211347793,0.130756277,0.049072918,0.117298925,0.127566923,0.144873669,0.152062996,0.590875432,0.697270684,0.430653667,1.619098448,0.266617017
RZ584xig,0.017992177,0.250105964,0.211157012,0.076642685,0.12300347,0.173403966,0.221395299,0.264449771,0.858895192,0.318477277,0.15844804,2.009979277,0.160029237
RhRnfeBp,-0.059850884,0.234022174,0.16361202,0.039232985,0.088793442,0.118655582,0.157008938,0.180497495,0.584188442,0.705414229,0.592024795,1.191528184,0.113389434
RuSZ5rNP,-0.035627308,0.225909345,0.168103995,0.040036823,0.087411938,0.118930483,0.158042424,0.178774555,0.583196222,0.769854532,0.550386876,1.398751617,0.219467657
Rxka2Dfe,-0.008200163,0.245531354,0.136795656,0.058729333,0.092276936,0.126914532,0.1680356,0.182625093,0.628581494,0.766255979,0.561841724,1.363828897,0.204414255
RyeFHRQj,-0.156223033,0.420255073,0.383907026,0.092487674,0.123936901,0.149260695,0.180670029,0.259957524,0.806312823,0.582062099,0.485704989,1.198386083,0.09635711
SeLh3ENk,0.000979474,0.298384804,0.32132536,0.098620217,0.118530476,0.109266771,0.085990448,0.079464171,0.491872083,0.778303666,0.577826568,1.346950294,0.200477098
Sh2ZCYBZ,-0.054788179,0.279942445,0.272930796,0.095038231,0.143960689,0.190472769,0.213093215,0.177681177,0.820246082,0.601642622,0.396999205,1.515475632,0.204643416
SnYQMMBW,-0.007188336,0.250746059,0.195461442,0.054897788,0.107802364,0.178124768,0.252513613,0.309237076,0.90257561,0.659078192,0.442350011,1.48994727,0.216728181
T3aA8TCd,0.019781299,0.223611289,0.127833372,0.086358214,0.164863677,0.242195649,0.330890827,0.400160056,1.224468422,0.745092218,0.530687953,1.404011932,0.214404265
TQyNNoOf,-0.031060353,0.203615422,0.143270292,0.068860948,0.136970648,0.218490216,0.204399724,0.26438651,0.893108046,0.575821005,0.376613475,1.528944247,0.199207531
U0NC3iwE,-0.029017505,0.208383971,0.154962962,0.070341233,0.143494515,0.205133367,0.306730267,0.34509298,1.070792363,0.716518704,0.498217883,1.438163357,0.21830082
UDXlpEgF,-0.0281514,0.20088764,0.150045316,0.066519733,0.120740846,0.18968684,0.264117626,0.299110768,0.940175812,0.788532138,0.576963163,1.366694079,0.211568976
ULS1fTmQ,-0.002099694,0.225762065,0.114685862,0.048243409,0.087244099,0.136998693,0.189807131,0.247799486,0.710092817,0.789829643,0.597559602,1.321758767,0.192270041
UWhrbKTC,-0.082614852,0.291939781,0.278942808,0.078236489,0.120058349,0.159606892,0.119312322,0.062390293,0.539604345,0.683221549,0.494132187,1.382669591,0.189089362
UZ9Vsj7D,-0.061339049,0.219577679,0.137640952,0.044653286,0.084568131,0.134099198,0.180488376,0.253602759,0.69741175,0.661351242,0.44176709,1.497058647,0.219584152
UpNWCJ9a,-0.02755416,0.206825178,0.139267058,0.058534339,0.106531223,0.145881288,0.17765021,0.155845883,0.644442944,0.705702956,0.476836934,1.47996706,0.228866022
VEBURFuk,-0.179477827,0.184856854,0.119379582,0.05554181,0.099446405,0.159054574,0.220824262,0.280809193,0.815676243,0.367702991,0.246673401,1.490647103,0.12102959
VKW2KzGC,-0.093083239,0.3298898,0.262089991,0.058497093,0.111915579,0.150591515,0.188086407,0.209044627,0.718135222,0.677767351,0.457161189,1.482556628,0.220606162
VN1pIYPc,-0.107677922,0.384119186,0.328838273,0.064956367,0.107578132,0.153198752,0.172635495,0.156160731,0.654529476,0.668841396,0.443177022,1.509196919,0.225664374
VPAqPZQI,0.000379858,0.16963427,0.08138729,0.051660522,0.097031465,0.155690691,0.210748205,0.310154928,0.82528581,0.765506812,0.553961839,1.381876437,0.211544973
