,Standard.deviation,Proportion.of.Variance,Cumulative.Proportion
PC316,0.06818065,0.00001,0.99977
PC317,0.066273208,0.00001,0.99978
PC318,0.065507288,0.00001,0.99978
PC319,0.064260222,0.00001,0.99979
PC320,0.063380856,0.00001,0.9998
PC321,0.062689938,0.00001,0.9998
PC322,0.062069076,0.00001,0.99981
PC323,0.061160543,0.00001,0.99982
PC324,0.059784391,0.00001,0.99982
PC325,0.059444047,0.00001,0.99983
PC326,0.058601566,0.00001,0.99983
PC327,0.057692279,0.00001,0.99984
PC328,0.056828092,0.00001,0.99985
PC329,0.055702701,0.00001,0.99985
PC330,0.054911029,0.00001,0.99986
PC331,0.054808886,0,0.99986
PC332,0.053493234,0,0.99987
PC333,0.053341474,0,0.99987
PC334,0.05278714,0,0.99987
PC335,0.052102875,0,0.99988
PC336,0.050937693,0,0.99988
PC337,0.050324151,0,0.99989
PC338,0.049898783,0,0.99989
PC339,0.048912571,0,0.9999
PC340,0.048376823,0,0.9999
PC341,0.047275156,0,0.9999
PC342,0.046983555,0,0.99991
PC343,0.046005954,0,0.99991
PC344,0.045652066,0,0.99991
PC345,0.045336733,0,0.99992
PC346,0.043702904,0,0.99992
PC347,0.043160896,0,0.99992
PC348,0.042944032,0,0.99993
PC349,0.042782599,0,0.99993
PC350,0.04157889,0,0.99993
PC351,0.041142496,0,0.99994
PC352,0.040570393,0,0.99994
PC353,0.03984502,0,0.99994
PC354,0.039302636,0,0.99994
PC355,0.038284031,0,0.99995
PC356,0.037632777,0,0.99995
PC357,0.036966232,0,0.99995
PC358,0.036115065,0,0.99995
PC359,0.035723865,0,0.99995
PC360,0.035381115,0,0.99996
PC361,0.034724177,0,0.99996
PC362,0.034390282,0,0.99996
PC363,0.033773567,0,0.99996
PC364,0.032900926,0,0.99996
PC365,0.032457718,0,0.99997
PC366,0.031981114,0,0.99997
PC367,0.031401474,0,0.99997
PC368,0.03105211,0,0.99997
PC369,0.030954966,0,0.99997
PC370,0.030123391,0,0.99997
PC371,0.029508638,0,0.99998
PC372,0.029027489,0,0.99998
PC373,0.028754089,0,0.99998
PC374,0.027656451,0,0.99998
PC375,0.026936402,0,0.99998
PC376,0.02663818,0,0.99998
PC377,0.026287469,0,0.99998
PC378,0.025553706,0,0.99998
PC379,0.025243845,0,0.99999
PC380,0.024268377,0,0.99999
PC381,0.023809509,0,0.99999
PC382,0.023286891,0,0.99999
PC383,0.022598122,0,0.99999
PC384,0.022196483,0,0.99999
PC385,0.021568493,0,0.99999
PC386,0.021235222,0,0.99999
PC387,0.021081254,0,0.99999
PC388,0.020423478,0,0.99999
