subjectid,lyapExp,appEntropy
8qkEAiHL,-0.149677672,0.346104763
MfzjZe52,-0.159322962,0.425716014
M0sPVbHP,-0.162402297,0.377798387
ztKJoXiw,-0.165551402,0.363168526
gO7Cpt1X,-0.191908114,0.353232693
e13bsM5a,-0.193497074,0.532651648
nyqYkUq8,-0.208592182,0.374522042
zvYmZ0SS,-0.216703067,0.295705839
arPGgOEf,-0.228081715,0.424075614
KHDHZ4c5,-0.250518373,0.338102498
pmYdj2Zc,-0.25953974,0.376096407
98l8KpqV,-0.262402876,0.314012643
C5LRwSjU,-0.270544228,0.330874724
i0oCTuhJ,-0.28128916,0.53345561
4OQQyQYB,-0.296285011,0.325566053
a2SHGIQT,-0.29911861,0.164687459
nkcnBgOa,-0.308460913,0.463702414
Di0gPE0H,-0.32197739,0.335467821
fvpJO6dv,-0.332521342,0.475136744
zIDgWdoU,-0.335578137,0.475275762
oluI9aqT,-0.340383568,0.105668487
nGyTDr5q,-0.340984081,0.440810943
cr0mCZNx,-0.359619918,0.234556683
EHotqA24,-0.374189279,0.337104378
4RLH9WCs,-0.414623864,0.455895837
RJVU9j8P,-0.430282289,0.411983365
8t6W3ykG,-0.432065211,0.141318238
W0BHMtXT,-0.448303062,0.256620438
yKdKYz23,-0.474015553,0.461765522
Abnitm4V,-0.475858634,0.475606202
bqTsXpKl,-0.477666811,0.13913999
Kc2t70BJ,-0.504942376,0.440840053
3nkxadKi,-0.543926769,0.386626885
uBFpj4lx,-0.580022416,0.344834845
GjPHiGli,-0.584327886,0.508028734
JNh9mTC7,-0.59576521,0.456690436
XVvERXzh,-0.607960716,0.41546222
t86vURE5,-0.626171122,0.467090508
qpxWRSOP,-0.629082997,0.235536318
pA5ISzHH,-0.633342285,0.201596496
Jz7HcSm7,-0.639457315,0.241698682
R8eFySk4,-0.645482842,0.514468734
dmWVXiPM,-0.64561241,0.348788654
zbI7ifl8,-0.645799632,0.439713855
iVGPuONf,-0.656889409,0.247572807
OioJ5LuN,-0.660368417,0.375273905
vLEhUnMj,-0.663119065,0.318114859
dpphCSNb,-0.663436111,0.283995897
ujkGAy6u,-0.682769779,0.314873092
ucT4dryZ,-0.688921232,0.284582815
ry6fCSwK,-0.701148662,0.351541517
QLZHPS8I,-0.709478166,0.337736834
5msHe2ZM,-0.789554439,0.458251397
egXfYcVu,-0.8002828,0.387416156
kbOfCieZ,-0.815301505,0.409647768
GboPBbli,-0.832547215,0.198613605
ZR3QAZmu,-0.843670669,0.521685924
KmpRQuJD,-0.855260586,0.386606127
Q0xDqlUa,-0.866031071,0.304559649
MeABXs62,-0.866370709,0.232010786
OuYG4U64,-0.876196447,0.358616182
ybGzWMPA,-0.903189399,0.27683754
1ovgasC1,-0.913479079,0.44814809
