0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
571.556,513.602,0.871852,466.587,655.449,0.832086,382.737,676.251,0.762652,560.981,901.501,0.932205,623.839,812.386,0.761098,550.362,649.944,0.830448,650.119,838.594,0.843922,560.827,859.412,0.626818,419.444,1048.02,0.687774,346.141,1068.97,0.703103,649.882,1210.41,0.833477,519.199,1482.7,0.834565,492.848,1022.05,0.690721,728.34,1068.97,0.909584,644.587,1362.46,0.820923,534.8,477.268,0.895145,566.436,476.88,0.623626,435.241,487.609,0.927195,0.0,0.0,0.0,739.12,1383.22,0.803422,728.771,1367.54,0.829655,618.514,1398.89,0.506787,655.293,1540.47,0.819115,618.574,1561.21,0.785481,482.205,1493.33,0.844893
592.246,513.701,0.863746,471.928,660.477,0.853607,388.138,681.26,0.779401,566.023,906.78,0.891761,629.052,817.484,0.748227,555.585,649.972,0.853293,655.319,838.479,0.802768,545.303,880.47,0.636871,419.576,1042.91,0.687172,346.22,1068.97,0.703484,649.802,1205.32,0.839953,519.138,1482.79,0.847393,498.015,1021.97,0.696244,728.33,1069.02,0.902115,644.55,1362.53,0.812962,560.663,477.37,0.948751,581.965,477.318,0.505622,445.84,492.844,0.861502,0.0,0.0,0.0,739.136,1372.95,0.815673,728.729,1362.54,0.85568,618.549,1399.0,0.518719,655.289,1540.45,0.803273,618.533,1561.27,0.781585,477.299,1493.46,0.855443
602.877,518.907,0.952409,477.365,670.892,0.871132,398.448,681.505,0.799466,566.228,917.066,0.859009,629.114,822.854,0.687764,561.088,650.17,0.880945,670.929,854.324,0.885202,560.758,870.101,0.65673,424.666,1048.11,0.686182,346.241,1069.02,0.698931,649.823,1210.36,0.838935,519.064,1482.91,0.852015,498.12,1026.96,0.695444,728.376,1069.03,0.907435,644.608,1362.49,0.830038,561.177,482.432,0.956498,602.861,477.323,0.707759,466.727,498.194,0.83405,0.0,0.0,0.0,739.063,1372.81,0.828826,728.707,1362.5,0.872033,618.586,1398.96,0.53749,650.233,1540.51,0.797253,613.404,1561.31,0.783011,477.261,1498.52,0.848729
613.434,519.055,0.925871,487.701,676.181,0.82423,414.244,686.721,0.777555,576.785,932.821,0.851118,639.382,838.541,0.565417,566.305,650.091,0.863247,681.485,854.347,0.890553,560.963,895.957,0.686069,424.759,1042.82,0.691899,346.202,1068.87,0.706155,649.822,1210.37,0.838894,519.029,1482.89,0.847431,503.344,1021.95,0.689618,728.37,1069.01,0.911019,644.509,1362.43,0.833392,581.935,482.61,0.883333,608.407,482.287,0.519332,477.296,503.384,0.88033,0.0,0.0,0.0,738.977,1372.91,0.836142,728.644,1362.54,0.878169,613.549,1398.87,0.530005,650.227,1545.62,0.792524,613.389,1561.4,0.780595,477.224,1498.49,0.833894
639.383,519.208,0.92489,513.655,681.459,0.844888,435.033,686.781,0.806045,587.18,938.01,0.879339,649.951,859.358,0.642055,587.218,665.638,0.766288,686.668,859.302,0.932406,571.447,901.583,0.700341,419.48,1048.01,0.673073,346.059,1068.93,0.700759,644.951,1215.64,0.837599,518.79,1482.66,0.838585,498.038,1026.93,0.650832,728.346,1069.16,0.910816,644.645,1362.54,0.846029,602.753,487.698,0.929585,639.299,482.688,0.452868,498.023,518.765,0.863529,0.0,0.0,0.0,739.099,1378.03,0.819871,728.724,1367.49,0.850486,613.564,1398.97,0.583171,649.979,1545.67,0.775028,608.123,1561.43,0.762389,477.141,1493.19,0.855284
650.064,529.453,0.925026,524.217,686.744,0.900893,445.708,691.941,0.78326,602.599,943.431,0.895373,660.467,859.563,0.700474,602.909,681.418,0.855995,691.703,859.504,0.951271,576.659,917.19,0.685665,419.546,1048.05,0.669526,346.079,1068.99,0.696366,644.916,1215.68,0.841624,513.89,1482.83,0.840343,503.281,1022.07,0.644283,728.336,1069.23,0.901409,639.609,1362.48,0.830918,613.345,503.344,0.869649,649.814,487.827,0.466524,518.817,519.101,0.921801,0.0,0.0,0.0,734.052,1383.21,0.824031,728.547,1367.57,0.854406,613.404,1398.88,0.53661,649.915,1540.45,0.778801,608.098,1561.31,0.77539,476.998,1493.46,0.849822
676.177,534.777,0.867433,545.307,691.79,0.84082,471.803,697.06,0.767928,608.026,959.043,0.846264,665.76,864.754,0.769441,613.426,686.615,0.834601,697.122,875.289,0.818035,581.938,927.552,0.646878,419.462,1048.03,0.665548,346.05,1068.95,0.693041,644.868,1220.87,0.847808,518.894,1482.87,0.844727,498.038,1026.95,0.636362,728.387,1074.27,0.888328,639.53,1362.57,0.802878,644.457,513.82,0.923756,670.952,508.534,0.407063,529.692,524.107,0.89234,0.0,0.0,0.0,734.077,1388.42,0.818098,728.539,1367.7,0.835561,613.416,1399.05,0.518969,649.881,1540.41,0.793584,608.169,1561.27,0.787793,477.065,1493.49,0.852121
691.876,545.139,0.906147,560.926,691.721,0.893672,482.464,692.085,0.783322,613.438,969.377,0.841033,665.789,870.047,0.727003,634.35,686.529,0.817977,712.893,890.971,0.819538,597.534,932.888,0.671815,424.764,1032.53,0.666467,346.216,1063.85,0.691084,644.943,1220.93,0.854111,518.973,1482.93,0.855756,508.491,1021.72,0.617187,728.465,1084.72,0.868658,644.569,1367.57,0.806088,655.159,518.84,0.912826,691.714,513.857,0.523184,555.807,524.307,0.929437,0.0,0.0,0.0,738.989,1388.47,0.819864,728.631,1367.75,0.817781,613.51,1399.11,0.538527,649.819,1545.58,0.781073,608.135,1561.38,0.791747,477.102,1498.46,0.822986
712.867,540.109,0.84724,576.659,691.839,0.838771,508.572,692.056,0.767776,639.541,969.386,0.831279,691.793,885.591,0.681764,650.005,686.855,0.851512,728.577,896.147,0.888916,618.57,927.564,0.646629,429.857,1037.54,0.659437,351.41,1063.79,0.68284,649.822,1225.97,0.842744,519.025,1482.97,0.85428,508.518,1021.81,0.589632,728.486,1089.9,0.861245,639.414,1372.77,0.753504,681.464,518.857,0.937412,707.537,518.813,0.426246,571.359,524.348,0.927264,0.0,0.0,0.0,733.892,1378.15,0.8001,728.332,1367.63,0.817441,613.34,1404.18,0.480438,649.872,1550.92,0.797357,608.182,1566.42,0.807857,477.138,1498.57,0.837083
733.612,545.171,0.902781,597.631,686.794,0.861625,524.117,686.8,0.802246,649.953,964.312,0.866522,718.043,870.008,0.70004,660.58,686.624,0.798461,733.86,880.371,0.778663,629.026,917.214,0.581502,435.107,1032.51,0.667369,356.726,1063.82,0.68625,650.018,1226.02,0.845915,519.023,1487.88,0.849277,513.751,1021.71,0.61568,728.517,1095.08,0.86475,639.369,1367.74,0.747265,692.022,513.857,0.928402,728.705,513.716,0.568077,592.42,524.115,0.883017,0.0,0.0,0.0,733.793,1378.1,0.805277,723.357,1367.57,0.818086,613.405,1404.05,0.45011,649.893,1556.11,0.803464,608.168,1566.48,0.815901,477.174,1498.65,0.827355
744.416,529.662,0.872314,607.936,686.695,0.886553,534.882,686.649,0.77693,676.177,953.808,0.841818,707.703,859.733,0.735449,681.257,686.671,0.830698,754.696,864.746,0.771629,639.492,922.304,0.634852,435.305,1027.21,0.683875,362.043,1053.39,0.652305,650.26,1231.15,0.842564,518.925,1487.85,0.841433,513.703,1016.52,0.582885,728.757,1100.26,0.889348,639.505,1367.58,0.769321,718.029,508.503,0.849679,744.178,498.009,0.328856,607.97,519.025,0.920081,0.0,0.0,0.0,733.609,1388.61,0.837034,723.243,1372.88,0.803425,613.396,1398.98,0.457937,644.848,1556.18,0.801957,607.991,1566.53,0.818848,477.099,1498.67,0.835594
765.144,519.209,0.931054,613.475,681.209,0.805289,560.741,681.267,0.776404,686.466,948.656,0.869928,754.693,854.412,0.590953,686.696,670.952,0.796825,760.053,854.42,0.842934,650.115,922.359,0.681281,440.529,1021.89,0.675368,367.121,1032.52,0.642445,650.176,1231.3,0.861128,518.848,1483.03,0.845618,519.1,1006.14,0.574541,733.597,1105.41,0.906755,639.551,1362.53,0.760109,728.629,487.545,0.955375,765.069,482.633,0.315338,618.62,513.746,0.860647,0.0,0.0,0.0,728.748,1393.63,0.842081,723.201,1377.96,0.796942,613.436,1398.88,0.403091,644.708,1556.13,0.792208,603.017,1566.55,0.827052,476.916,1498.56,0.825844
775.514,518.748,0.953114,623.894,665.633,0.777255,560.957,665.653,0.767857,691.99,938.194,0.899031,734.051,859.324,0.584682,691.822,660.527,0.810084,770.249,854.307,0.861479,655.226,906.575,0.683185,440.623,1016.61,0.670545,372.363,1027.28,0.66139,655.18,1231.49,0.860314,518.786,1487.94,0.830216,519.112,990.575,0.59023,733.61,1105.64,0.917073,639.365,1362.5,0.726312,733.995,477.3,0.94037,770.521,477.18,0.360228,628.976,492.788,0.834618,0.0,0.0,0.0,728.536,1393.71,0.825804,717.996,1378.08,0.76937,613.449,1398.79,0.379092,639.592,1561.28,0.802531,602.842,1566.68,0.820537,476.873,1503.73,0.821059
775.888,487.812,0.895392,639.326,649.852,0.830088,566.035,644.879,0.800301,691.991,922.381,0.84648,754.815,828.134,0.635733,697.096,649.897,0.818946,770.45,849.009,0.81535,676.272,901.278,0.604938,445.761,1006.23,0.648938,382.77,1021.98,0.681108,660.43,1231.49,0.843775,513.845,1488.01,0.821518,524.165,990.403,0.599581,733.734,1105.9,0.912827,639.467,1362.24,0.687083,739.138,461.395,0.869309,770.629,456.108,0.277606,634.359,477.277,0.877468,0.0,0.0,0.0,728.458,1393.82,0.792143,717.974,1378.15,0.723002,618.676,1388.51,0.319207,639.594,1566.33,0.809732,602.799,1571.65,0.796173,471.836,1503.75,0.786646
780.986,476.894,0.91346,639.484,629.02,0.803463,566.351,634.169,0.764306,697.164,901.655,0.854887,765.262,817.869,0.705666,697.058,618.664,0.772244,770.692,822.896,0.75303,691.824,859.475,0.630489,456.261,990.551,0.652776,388.126,1016.49,0.657974,655.267,1231.38,0.860053,508.59,1488.13,0.795747,529.5,980.181,0.631344,733.74,1110.83,0.916905,629.029,1367.7,0.691021,754.662,435.438,0.908877,775.821,435.269,0.239245,644.55,445.863,0.901081,0.0,0.0,0.0,728.419,1393.88,0.840954,712.815,1383.25,0.753115,613.237,1399.09,0.362501,639.522,1566.47,0.839095,602.762,1571.8,0.810868,466.572,1508.94,0.759703
780.926,440.393,0.918247,644.48,607.985,0.859392,566.23,602.959,0.798403,707.574,890.859,0.819239,765.173,812.102,0.552098,702.321,608.097,0.816282,770.603,812.411,0.756365,686.552,854.138,0.579475,461.471,980.028,0.688821,388.028,985.422,0.66553,650.219,1231.47,0.862301,508.518,1488.1,0.796278,534.813,974.755,0.63641,728.636,1110.96,0.912075,613.432,1367.55,0.674054,749.612,403.828,0.874631,775.794,398.702,0.218926,644.578,430.09,0.926966,0.0,0.0,0.0,723.139,1393.75,0.828074,697.269,1383.18,0.796647,608.089,1399.22,0.331391,639.353,1566.33,0.826647,602.681,1571.69,0.808341,466.519,1508.94,0.752528
780.841,419.536,0.864761,639.545,581.832,0.808961,566.345,581.854,0.755892,707.709,854.454,0.855678,765.216,775.854,0.518663,697.189,576.677,0.786293,775.779,775.491,0.864566,686.819,817.808,0.628991,471.86,969.432,0.679704,398.452,980.06,0.694927,644.954,1231.53,0.896633,487.614,1488.24,0.809358,534.851,948.652,0.644693,728.342,1110.92,0.910283,618.483,1362.58,0.682226,749.471,388.085,0.857061,775.641,388.035,0.146544,644.602,398.484,0.954757,0.0,0.0,0.0,718.053,1393.83,0.80101,697.126,1383.19,0.764244,608.018,1399.01,0.380172,629.112,1566.71,0.769314,592.392,1572.03,0.725028,445.66,1509.01,0.770845
