subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
L2GIBJN1,0.069086369,0.137494622,0.207484394,0.281251182,0.285881892,0.27501222,0.266628663,0.27388875,0.16507975,0.131336002,0.141650517,0.120627988,0.114410351,0.149531734,0.105360516,0.606135804,0.111225635,0.167054085,0,0.336472237
LAervIgm,0.071640064,0.132123537,0.20620155,0.249034965,0.326344059,0.284320725,0.199865866,0.139112802,0.078988411,0.082238098,0.040821995,0.029852963,0,0.09763847,0.066691374,0.03509132,0,0.057158414,0.223143551,0.287682072
M0sPVbHP,0.007805497,0.015274804,0.023111265,0.031758727,0.041395883,0.049894021,0.062155156,0.072117533,0.082814225,0.094355019,0.100621928,0.106242739,0.111603613,0.116852426,0.124595678,0.120111859,0.128190451,0.135129524,0.146285189,0.153766064
MKMvRw1P,0.081795645,0.116983355,0.162147705,0.209992123,0.221121306,0.227932068,0.15415068,0.121360857,0.159064695,0.27029033,0.146603474,0.125163143,0.167054085,0.141078598,0.209720531,0.200670695,0.287682072,0.251314428,0.302280872,0.374693449
MSYVAPeM,0.077765986,0.131424452,0.168163347,0.282815883,0.190043603,0.163629424,0.237000586,0.073025135,0.040273899,0.026317308,0.019802627,0.03333642,0.052643733,0,0.054067221,0.083381609,0.042559614,0.064538521,0.117783036,0
MVWT4FfX,0.053530393,0.096872566,0.142403823,0.197546764,0.246860078,0.251314428,0.277210773,0.198670695,0.160036512,0.106863146,0.112940411,0.075035186,0.068992871,0.133531393,0.164303051,0.167054085,0.083381609,0.085157808,0.14518201,0.117783036
MVZpHgro,0.061703788,0.105968451,0.171850257,0.237000586,0.313657559,0.374048912,0.420106658,0.381367557,0.496436886,0.121360857,0.09531018,0.099090903,0,0.039220713,0.018692133,0.207639365,0.051293294,0.050010421,0.052643733,0
MeABXs62,0.062177798,0.128784461,0.153164973,0.15449157,0.099485551,0.061644163,0.038915416,0.091434206,0.052922401,0.068992871,0.087011377,0.098440073,0.148420005,0.133531393,0.125163143,0.207639365,0.241162057,0.287682072,0.559615788,0.223143551
MfzjZe52,0.034412368,0.076813685,0.09938471,0.129682597,0.171514492,0.212971509,0.201266643,0.217776376,0.209394851,0.12658692,0.059088916,0.065846566,0.058268908,0.027398974,0.030153038,0.020408872,0.050010421,0.014598799,0.027028672,0.013986242
N6l5Ci6H,0.060605213,0.09058523,0.129211731,0.171080626,0.202613387,0.227606421,0.287682072,0.233864321,0.238891908,0.178691789,0.126751706,0.080042708,0.110541874,0.113328685,0.112795494,0.102278849,0.202524264,0.192903666,0.204794413,0.205852054
NCK9pYwX,0.060005931,0.120900302,0.202182763,0.262851001,0.311351817,0.299572819,0.287682072,0.209254439,0.17848278,0.159848701,0.135341348,0.156842471,0.194156014,0.198450939,0.234839591,0.173271721,0.158224005,0.159064695,0.174353387,0.328504067
Ni69ryle,0.06795391,0.13945885,0.215421505,0.230709792,0.214656937,0.125163143,0.092115289,0.034486176,0.012270093,0.040273899,0.015267472,0.026668247,0.047628049,0.071458964,0,0.09531018,0.083381609,0.143100844,0.074107972,0.074107972
O21FTG3F,0.041225327,0.091074659,0.116367607,0.13294206,0.139248961,0.129953571,0.132686441,0.077291674,0.066489741,0.050966444,0.014184635,0.047067511,0.027398974,0.063513406,0.061557893,0.042559614,0.126751706,0.068992871,0.068992871,0.182321557
O2Kvv0GJ,0.053893273,0.096878741,0.148080216,0.182945582,0.209857715,0.225650866,0.216309104,0.258354457,0.164677093,0.137717251,0.139761942,0.110751364,0.094187215,0.081678031,0.140357358,0.114410351,0.140581951,0.138836445,0.238411023,0.126751706
