,Left Hip Min Ang Vel Sit2Stand,Time Diff Sit2Stand,Left Knee Min Ang Vel Stand2Sit,Right Ankle Max Sd Stand2Sit,Time Diff Stand2Sit,Right Hip Min Ang Acc,Right Hip Max Stand2Sit,Speed,Time Stand2Sit,Neck Min Y Acc,Speed Stand2Sit,Right Hip Max Mean,Pelvic Avg Speed,Right Hip Max Mean Stand2Sit
14,1.343164247,0.968769929,0.814036643,2.158778651,3.087335068,2.852776723,0.889690799,2.450818123,1.248479419,0.734833445,2.211274305,1.925482194,2.593423937,2.873677669
15,2.937899915,2.566584599,5.035998812,4.065607953,3.361435018,4.782799863,4.847917165,6.588167358,6.453323608,4.124904092,5.3748233,5.766441307,6.234601424,6.968766399
16,3.273183733,4.13658098,2.570902286,4.018526941,4.18739838,6.652909498,4.283039301,4.929475839,4.469339541,4.489161907,6.148347567,5.253934367,6.700529791,5.83668616
17,4.227876665,4.776181847,5.667456608,4.251312189,5.284931326,4.634561602,5.565768429,5.966185355,7.069867803,7.144660367,6.674367435,6.424881319,7.620813789,7.682871808
18,5.167900168,4.593963852,5.918759759,4.629368026,4.423307883,6.227681301,5.211049273,4.398792674,7.256278037,6.657359349,5.588783328,5.681110423,6.918800822,7.340200006
19,4.142484552,4.95140315,4.805833436,5.023006831,5.400242581,4.323592127,5.048191979,4.338597925,5.581005805,5.718717513,5.343490242,6.135378275,4.63717824,6.538383629
20,4.288468055,4.233086724,4.114673864,5.601405008,4.203825577,6.424577061,5.636355601,5.375166392,6.158837029,6.546455852,5.900534337,6.783583299,7.813019014,7.234698544
21,3.729674166,1.422110908,6.021442968,3.448736994,4.337708546,5.19605369,5.264044183,5.811497733,4.719464294,5.012033659,3.826497317,6.27768682,7.229288278,7.085904502
22,1.061787209,2.905205756,4.995710871,5.19396613,4.055514213,4.274884282,6.242967916,5.41685109,5.557566412,5.384174877,6.157502337,7.018979472,8.33315902,8.586378879
23,5.286638737,3.437788017,4.951257369,3.093927213,5.080759909,4.763713675,4.12291406,5.214090236,3.871580026,6.420762557,5.947458853,6.290803868,6.67254513,6.639015255
24,5.484207009,4.278559031,3.580446928,5.257073099,4.886808152,4.314275443,6.316306259,4.232318195,5.143641075,6.916890075,5.757178424,7.086580642,6.312593142,6.984807044
25,3.670820082,2.742981397,5.405518582,3.265061339,4.614347841,5.721634111,4.336814297,5.347296403,6.026858592,5.849894631,5.431015926,5.94426802,5.81801601,5.710280385
26,5.077320733,3.383727366,3.748816826,4.527312153,4.166955432,4.627610417,3.772616741,3.988501549,6.698526817,4.51999716,6.35463429,6.292161602,4.847977435,7.392637004
27,4.460757607,3.03470569,4.635945511,4.862045912,4.553379001,4.84295887,4.911805723,4.940901173,5.227530969,4.556938384,5.606028607,5.503009817,7.13056857,6.730417904
28,0.539629925,3.686658965,3.12459672,3.844430686,4.479889386,4.368158192,4.975614141,5.593444104,4.885287188,5.011288315,6.046664269,6.546976666,6.296727868,6.629133384
29,3.952446831,3.147660754,4.584139258,4.765640696,4.64579391,5.210120222,5.566583024,6.230974577,5.195951844,6.279164717,5.649004079,8.169238969,7.598464294,8.139510182
30,3.333611848,2.17578199,5.108451382,5.260781963,4.563471399,5.657820072,4.335291037,5.922591186,4.502154448,6.025128853,5.001414118,5.304486996,6.888496883,6.293402461
31,3.277508094,4.465469905,5.295444587,4.790599135,5.250342783,2.528249501,4.843108225,3.794602089,6.826993123,4.823484247,5.771378257,5.488280622,6.804357849,5.990236835
32,3.369728264,4.27147803,5.259434468,5.581913117,4.321337393,4.728702994,4.343487981,5.252036733,5.763793412,5.459482629,6.156476765,6.246912321,7.65327536,6.509193243
33,3.483866586,4.786806593,4.500498657,4.098224252,4.789701161,5.621667574,6.714804978,6.293991194,5.986398915,4.597459447,6.989251988,6.770742835,6.674672074,7.946210917
34,4.206522298,3.804510382,4.841960994,4.382490002,6.515367756,5.195851625,6.497560522,5.770538223,5.441962838,4.481755896,5.04982376,5.857303206,5.77349094,7.569809755
