subjectid,lyapunovExponent,approxEntropy,sampleEntropy,MSE1,MSE2,MSE3,MSE4,MSE5,Ci
P2CZntyu,-0.043685353,0.444179528,0.301887919,0.048934862,0.089829397,0.128607112,0.152843704,0.196191405,0.61640648
P5wlKd0H,0.006543283,0.169121562,0.101144714,0.06539144,0.144512175,0.229862502,0.29600212,0.36639764,1.102165877
PA4bXBlr,-0.011802683,0.248225686,0.220741648,0.062933795,0.120327065,0.141029085,0.137358416,0.0908384,0.552486761
PHr2f4TQ,-0.003885127,0.193718483,0.139093537,0.056069553,0.103362673,0.155661254,0.199852833,0.291883759,0.806830073
PJ2s4y3i,-0.024770272,0.254165282,0.178686942,0.040110674,0.087270638,0.119184971,0.162298641,0.166772962,0.575637886
PKYf165r,-0.029518768,0.375097611,0.317814822,0.080037299,0.129857987,0.161398139,0.173931134,0.231203468,0.776428027
POQZgYEM,-0.036569331,0.222858855,0.167097558,0.060728701,0.110804187,0.165718079,0.193979881,0.23944826,0.770679108
PcUj1dc8,-0.140137857,0.194958541,0.144401965,0.082704004,0.182222699,0.275486799,0.279908574,0.195424782,1.015746858
PftjeXxz,-0.054371089,0.434043893,0.352726066,0.074040524,0.120937917,0.137914161,0.186169423,0.225806669,0.744868694
PhCyuRvo,-0.038140879,0.283592735,0.172699244,0.042254894,0.085358672,0.106843938,0.145515137,0.17944003,0.55941267
Q0xDqlUa,-0.008979531,0.353741568,0.274603152,0.083346192,0.169412375,0.255038224,0.370859579,0.43036266,1.30901903
