subjectid,lyapExp,appEntropy
PftjeXxz,0.441096774,0.39035279
47x9mXqX,0.436079171,0.455035555
arPGgOEf,0.434223729,0.53179672
BMBD4fpK,0.434013836,0.231748127
4WBQNF9z,0.421254609,0.389531221
XxnpBqCk,0.419239697,0.334611179
yQpqLCPL,0.418424656,0.34718466
sUlatygS,0.415011059,0.428732839
hsX5kAeZ,0.387122863,0.515102119
5y8S8nC6,0.379752163,0.315974694
gkyOGI21,0.379310874,0.579234584
GboPBbli,0.370557022,0.339823392
jasA5s93,0.358607188,0.433257392
L2GIBJN1,0.355382159,0.465727902
KNaNAjLP,0.353906642,0.391245895
O21FTG3F,0.351933276,0.353390136
2geyDTFU,0.346889407,0.487525571
jDDqCwxU,0.321895839,0.344857488
8dLqK0KT,0.315715032,0.451964478
MeABXs62,0.31484471,0.345697703
UDXlpEgF,0.307114203,0.426148
odbnl461,0.29764708,0.364783813
EuMyzKCY,0.286859109,0.33531027
XbdRrkxS,0.284784072,0.512879114
uSnrgTDe,0.249130443,0.336395871
dRN9a0uf,0.248962692,0.49068198
6U6mieI8,0.246951674,0.297508433
UWhrbKTC,0.246309577,0.362875141
PhCyuRvo,0.245020482,0.419450134
zSWVNAon,0.240899705,0.393035069
Sh2ZCYBZ,0.232068683,0.473611312
ry6fCSwK,0.227878673,0.401354632
RuSZ5rNP,0.226791363,0.346821508
zgGJNHuU,0.222221574,0.424016206
VN1pIYPc,0.210439665,0.273314246
yMjX098h,0.207537664,0.46793433
O2Kvv0GJ,0.204579988,0.447028882
X5kmXm2t,0.20113485,0.316459572
hxJw9Wjr,0.180270715,0.387622006
2SV6hYB2,0.176172059,0.364610605
VPAqPZQI,0.174189736,0.457062965
8t6W3ykG,0.16232795,0.081595857
gZry6Nal,0.159446684,0.32546968
k3YTjMU4,0.155511302,0.435310008
GITsdVy7,0.15188609,0.420185084
a6j4D1CL,0.150030053,0.307198333
1y68rPwI,0.149182762,0.49231904
we9IrnZq,0.135939066,0.456437346
8qkEAiHL,0.13446998,0.345139744
LAervIgm,0.128328981,0.355009689
QLZHPS8I,0.121749457,0.367481785
0nUjlcd7,0.113302483,0.328313324
w2Q5bJMv,0.111602089,0.337351326
Y2Mijmxk,0.086704956,0.251100835
PcUj1dc8,0.083097019,0.479845809
nyqYkUq8,0.078756714,0.227369339
89hcos29,0.068927445,0.404694252
1ovgasC1,0.065332515,0.366779518
P2CZntyu,0.063734116,0.440981065
A5ya7RsN,0.060940171,0.418467331
j3iTbhie,0.042203083,0.36560079
MSYVAPeM,0.040461899,0.293649928
iVGPuONf,0.032928364,0.232666681
dmWVXiPM,0.025519576,0.307599418
Cr8FATng,0.013665308,0.463430535
yKdKYz23,0.013637868,0.434115327
kGiGTaIW,-0.002077149,0.33236865
ZAn8qhAb,-0.006525374,0.387034839
SnYQMMBW,-0.012036146,0.428068759
5illwZ0w,-0.022185273,0.450081731
FDzVFOBn,-0.022234288,0.371743291
nyRH10Bw,-0.024306948,0.325478001
kFPZtJof,-0.046679155,0.334945599
m43FWyiY,-0.058647825,0.574165928
uQaqBtOs,-0.067507504,0.493555383
pA5ISzHH,-0.080859291,0.260771443
dG40RNan,-0.084661269,0.33186336
5msHe2ZM,-0.093509744,0.417103612
zGObVmrM,-0.09640998,0.348112596
CAMRbQ1K,-0.105717192,0.378097652
RFibHPt7,-0.111877397,0.540629252
Zj2jtm25,-0.14427171,0.408358124
nwg8qbmZ,-0.153256239,0.440021076
t86vURE5,-0.188759449,0.459153149
ut7ckdyI,-0.216451453,0.398241429
g2W4FUSb,-0.247026065,0.472810751
ZbuDvcLk,-0.253582077,0.454110674
jS1r3uGd,-0.254060995,0.375661385
bFIh8shd,-0.255399293,0.524491564
gbNgqUpT,-0.260677412,0.24428144
P5wlKd0H,-0.260864034,0.360375673
OioJ5LuN,-0.266775561,0.367684025
nkcnBgOa,-0.275755173,0.417762106
CvpdKx9g,-0.277087944,0.375552374
cr0mCZNx,-0.278203203,0.366515648
AA9IzAL1,-0.289142458,0.565618486
MKMvRw1P,-0.30536539,0.350079052
GwvQ3hpI,-0.324238111,0.517414638
VPQJGG4D,-0.33016585,0.490600899
Ar8WVEB8,-0.33993433,0.362270138
ucT4dryZ,-0.351738405,0.419867329
zvYmZ0SS,-0.35586972,0.347875143
U0NC3iwE,-0.381377942,0.445236522
XkrRgefi,-0.382407917,0.512894803
JKDP8D2e,-0.394018772,0.547262698
MVZpHgro,-0.400003562,0.500301826
ESzlIzyO,-0.419674881,0.447374896
f0Ts7NJh,-0.47594638,0.441280083
nJNrFOAf,-0.500520983,0.417459841
xgN0wuHW,-0.505524225,0.369922466
scqtqhQi,-0.541478874,0.534627344
6MFubdNK,-0.561856505,0.492136
oluI9aqT,-0.729896694,0.187051829
BFP7TMfA,-0.787396542,0.348350674
pxr3J4Ow,-0.821514374,0.421431605
Ytlu6T69,-0.825215338,0.487566169
F6PuVthQ,-0.94811723,0.46402834
Ycmah3Py,-0.966124708,0.342621766
SeLh3ENk,-1.12922407,0.357824162
ekZNvuex,-1.530927447,0.459472588
maugZAlg,-1.647585948,0.409013557
Qk66Dk9d,-2.302002607,0.360325535
